F2 deuterium data from Simona Malace
JLab experiment E00106
PhD thesis, Hampton University, December 2006
                                                                                
= 0.0000   normalisation factor

     x         Q^2         F2d          i        stat        syst       dummy      dummy    
  0.6108      5.4412      0.1366     235.00     0.0038      0.0035     1.0000      1.0000   
  0.6183      5.4994      0.1373     236.00     0.0038      0.0035     1.0000      1.0000   
  0.6259      5.5576      0.1255     237.00     0.0035      0.0032     1.0000      1.0000   
  0.6336      5.6158      0.1251     238.00     0.0035      0.0032     1.0000      1.0000   
  0.6412      5.6740      0.1159     239.00     0.0034      0.0030     1.0000      1.0000   
  0.6489      5.7322      0.1062     240.00     0.0033      0.0027     1.0000      1.0000   
  0.6566      5.7904      0.0994     241.00     0.0031      0.0025     1.0000      1.0000   
  0.6644      5.8486      0.0926     242.00     0.0030      0.0024     1.0000      1.0000   
  0.6721      5.9068      0.0961     243.00     0.0031      0.0025     1.0000      1.0000   
  0.6799      5.9650      0.0853     244.00     0.0028      0.0022     1.0000      1.0000   
  0.6877      6.0232      0.0851     245.00     0.0028      0.0022     1.0000      1.0000   
  0.6956      6.0814      0.0779     246.00     0.0028      0.0020     1.0000      1.0000   
  0.7004      6.1174      0.0736     247.00     0.0019      0.0019     1.0000      1.0000   
  0.7034      6.1396      0.0760     248.00     0.0026      0.0019     1.0000      1.0000   
  0.7094      6.1835      0.0708     249.00     0.0018      0.0018     1.0000      1.0000   
  0.7113      6.1978      0.0774     250.00     0.0026      0.0020     1.0000      1.0000   
  0.7184      6.2496      0.0677     251.00     0.0018      0.0017     1.0000      1.0000   
  0.7193      6.2560      0.0694     252.00     0.0025      0.0018     1.0000      1.0000   
  0.7274      6.3158      0.0637     253.00     0.0017      0.0016     1.0000      1.0000   
  0.7365      6.3819      0.0556     254.00     0.0015      0.0014     1.0000      1.0000   
  0.7456      6.4480      0.0537     255.00     0.0015      0.0014     1.0000      1.0000   
  0.7548      6.5142      0.0478     256.00     0.0015      0.0012     1.0000      1.0000   
  0.7640      6.5803      0.0437     257.00     0.0014      0.0011     1.0000      1.0000   
  0.7732      6.6464      0.0406     258.00     0.0014      0.0010     1.0000      1.0000   
  0.7824      6.7126      0.0375     259.00     0.0013      0.0010     1.0000      1.0000   
  0.7917      6.7787      0.0350     260.00     0.0012      0.0009     1.0000      1.0000   
  0.8011      6.8448      0.0327     261.00     0.0012      0.0008     1.0000      1.0000   
  0.8104      6.9110      0.0312     262.00     0.0012      0.0008     1.0000      1.0000   
  0.8198      6.9771      0.0281     263.00     0.0011      0.0007     1.0000      1.0000   
  0.8293      7.0432      0.0281     264.00     0.0012      0.0007     1.0000      1.0000   
  0.8388      7.1094      0.0262     265.00     0.0012      0.0007     1.0000      1.0000   
